event_player_1,event_team,season,xG,Goals,Difference
Alexa Gruschow,MET,2017,4.807256089,9,-4.192743911
Alyssa Gagliardi,BOS,2017,2.312244197,0,2.312244197
Amanda Boulier,CTW,2017,3.42198205,3,0.42198205
Anya Battaglino,CTW,2017,0.967870413,0,0.967870413
Ashley Johnston,MET,2017,0.474898595,1,-0.525101405
Bray Ketchum,MET,2017,3.567110881,5,-1.432889119
Cheeky Herr,MET,2017,0.073026418,0,0.073026418
Colleen  Murphy,BUF,2017,0.368787509,0,0.368787509
Corey  Stearns,BOS,2017,0.741402831,0,0.741402831
Corinne Buie,BUF,2017,5.254325019,4,1.254325019
Courtney Burke,MET,2017,2.641896978,2,0.641896978
Cydney Roesler,CTW,2017,2.081563908,1,1.081563908
Dana Trivigno,BOS,2017,4.060246671,2,2.060246671
Elena Orlando,CTW,2017,0.567127345,0,0.567127345
Emily Field,BOS,2017,3.800508878,3,0.800508878
Emily Fluke,CTW,2017,4.903830494,4,0.903830494
Emma Greco,CTW,2017,0.417978253,0,0.417978253
Erika  Lawler,MET,2017,2.28606299,1,1.28606299
Grace Klienbach,CTW,2017,1.004053442,1,0.004053442
Haley Skarupa,BOS,2017,2.594776982,2,0.594776982
Hanna  Beattie,CTW,2017,0.837816508,0,0.837816508
Harrison Browne,MET,2017,2.008893319,3,-0.991106681
Hayley  Scamurra,BUF,2017,5.953953824,6,-0.046046176
Heather  Schwarz,BOS,2017,2.488871719,1,1.488871719
Hillary  Crowe,MET,2017,0.63006435,0,0.63006435
Jacquie Greco,BUF,2017,0.722902492,0,0.722902492
Jamie Goldsmith,CTW,2017,2.779585343,2,0.779585343
Janine Weber,BOS,2017,2.977946919,3,-0.022053081
Jenny Ryan,MET,2017,3.720048436,3,0.720048436
Jess Jones,BUF,2017,2.144445551,3,-0.855554449
Jillian Dempsey,BOS,2017,4.370844007,7,-2.629155993
Jordan  Juron,BUF,2017,0.400989577,1,-0.599010423
Jordan  Ott,BUF,2017,0.388577012,0,0.388577012
Jordan Brickner,CTW,2017,1.041696135,1,0.041696135
Jordan Smelker,BOS,2017,1.109407418,2,-0.890592582
Jordyn Burns,BUF,2017,0.216695308,0,0.216695308
Juana Baribeau,CTW,2017,2.626640245,1,1.626640245
Kaleigh Fratkin,BOS,2017,0.769784623,0,0.769784623
Kaliya Johnson,BOS,2017,0.553684778,0,0.553684778
Katherine Donohue,BUF,2017,0.318879343,1,-0.681120657
Kathryn Tomaselli,BOS,2017,0.732851841,0,0.732851841
Kaycie Anderson,CTW,2017,1.82079663,1,0.82079663
Kayla Parsons,BUF,2017,0.039497753,0,0.039497753
Kaylyn  Schroka,BUF,2017,2.20011567,4,-1.79988433
Kelly Babstock,CTW,2017,7.221248798,4,3.221248798
Kelly Nash,MET,2017,2.339310994,2,0.339310994
Kelsey  Koelzer,MET,2017,1.374620251,4,-2.625379749
Kiira Dosdall,MET,2017,1.172455789,0,1.172455789
Kourtney Kunichika,BUF,2017,3.118139734,3,0.118139734
Kristin Lewicki,BUF,2017,4.08346902,5,-0.91653098
Lauren Wash,MET,2017,0.632073109,1,-0.367926891
Lexi Bender,BOS,2017,1.429340369,0,1.429340369
Lindsey Hylwa,MET,2017,0.167058391,0,0.167058391
Lisa Chesson,BUF,2017,1.671653945,1,0.671653945
Maddie  Elia,BUF,2017,5.376190576,4,1.376190576
Madison  Litchfield,BOS,2017,0.136073548,0,0.136073548
Madison Packer,MET,2017,4.815708427,10,-5.184291573
Mallory Souliotis,BOS,2017,0.1576712,0,0.1576712
Marissa Gedman,BOS,2017,0.191667578,0,0.191667578
Mary Parker,BOS,2017,2.145316628,1,1.145316628
Meagan Mangene,BOS,2017,1.533470625,2,-0.466529375
Meghan   Huertas,CTW,2017,2.158234523,2,0.158234523
Michaela Levine,BOS,2017,0.125660508,0,0.125660508
Michelle Picard,MET,2017,1.682823267,0,1.682823267
Miye D'Oench,MET,2017,4.211465463,6,-1.788534537
Paige Harrington,BOS,2017,0.288027005,0,0.288027005
Paige Savage,CTW,2017,0.524984904,0,0.524984904
Rachael Ade,CTW,2017,1.808992049,0,1.808992049
Rebecca  Vint,BUF,2017,3.758091706,3,0.758091706
Rebecca Morse,MET,2017,1.138509244,0,1.138509244
Rebecca Russo,MET,2017,4.428837977,7,-2.571162023
Sam Donovan,CTW,2017,0.200343272,0,0.200343272
Sam Faber,CTW,2017,2.349581805,3,-0.650418195
Sarah  Edney,BUF,2017,2.36423522,2,0.36423522
Sarah Casorso,BUF,2017,1.377180354,0,1.377180354
Sarah Shureb,BUF,2017,1.401111532,1,0.401111532
Shannon Doyle,CTW,2017,1.779333145,0,1.779333145
Stephanie  Mock,CTW,2017,1.097471214,0,1.097471214
Sydney   Daniels,BOS,2017,1.016728852,2,-0.983271148
Tatiana Rafter,MET,2017,3.475240863,4,-0.524759137
Taylor Accursi,BUF,2017,5.482462335,6,-0.517537665
Alex Carpenter,BOS,2016,5.392401842,7,-1.607598158
Alexa Gruschow,MET,2016,2.362778989,2,0.362778989
Alexandra Bender,BOS,2016,1.716814417,2,-0.283185583
Alyssa Gagliardi,BOS,2016,1.2225897,0,1.2225897
Amanda Kessel,MET,2016,2.082016469,4,-1.917983531
Amanda Pelkey,BOS,2016,2.87811334,2,0.87811334
Anne Schleper,BUF,2016,0.319560697,0,0.319560697
Anya Battaglino,CTW,2016,0.174554974,0,0.174554974
Ashley Johnston,MET,2016,0.769842834,1,-0.230157166
Ashley Vesci,BUF,2016,1.113003493,0,1.113003493
Blake Bolden,BOS,2016,2.393047959,1,1.393047959
Bray Ketchum,MET,2016,2.206722618,1,1.206722618
Brianna Decker,BOS,2016,9.912093139,11,-1.087906861
Celeste Brown,CTW,2016,0.507414903,0,0.507414903
Corinne Buie,BUF,2016,4.016375983,8,-3.983624017
Courtney Burke,MET,2016,1.923618547,3,-1.076381453
Cydney Roesler,CTW,2016,1.138953861,1,0.138953861
Dana Trivigno,CTW,2016,3.173932599,3,0.173932599
Devon Skeats,BUF,2016,3.452646205,4,-0.547353795
Elena Orlando,CTW,2016,0.350127038,0,0.350127038
Emily Field,BOS,2016,2.362032099,3,-0.637967901
Emily Janiga,BUF,2016,4.83982899,6,-1.16017101
Emily Pfalzer,BUF,2016,2.068198712,1,1.068198712
Gabie Figueroa,MET,2016,0.167181381,0,0.167181381
Gigi Marvin,BOS,2016,2.235935995,3,-0.764064005
Haley Skarupa,CTW,2016,6.606764938,7,-0.393235062
Harrison Browne,BUF,2016,2.88943915,2,0.88943915
Hilary Knight,BOS,2016,5.843872692,7,-1.156127308
Ivana Bilic,CTW,2016,0.556652558,0,0.556652558
Jacquie Greco,BUF,2016,1.077822582,1,0.077822582
Janine Weber,MET,2016,4.474199529,9,-4.525800471
Jillian Dempsey,BOS,2016,5.15348078,5,0.15348078
Jordan Brickner,CTW,2016,0.681789216,1,-0.318210784
Jordan Smelker,BOS,2016,3.017445128,3,0.017445128
Jordyn Burns,BUF,2016,0.191298096,0,0.191298096
Juana Baribeau,CTW,2016,0.654602942,0,0.654602942
Kacey Bellamy,BOS,2016,1.970447797,3,-1.029552203
Kaleigh Fratkin,MET,2016,2.193495411,1,1.193495411
Kaliya Johnson,CTW,2016,0.301440615,0,0.301440615
Kathryn Tomaselli,BOS,2016,0.614494066,0,0.614494066
Kayla Parsons,BUF,2016,0.0380042,0,0.0380042
Kelley Steadman,BUF,2016,3.618008659,5,-1.381991341
Kelli Stack,CTW,2016,5.84285299,6,-0.15714701
Kelly Babstock,CTW,2016,5.194375914,8,-2.805624086
Kiira Dosdall,MET,2016,1.223828068,2,-0.776171932
Kourtney Kunichika,BUF,2016,2.9131424,2,0.9131424
Kristina Lavoie,BUF,2016,0.113401805,0,0.113401805
Lauren Wash,MET,2016,0.465290242,1,-0.534709758
Lisa Chesson,BUF,2016,0.44258185,0,0.44258185
Madison Packer,MET,2016,5.916779311,8,-2.083220689
Marissa Gedman,BOS,2016,0.191778951,0,0.191778951
Meagan Mangene,CTW,2016,1.029975775,1,0.029975775
Megan Bozek,BUF,2016,3.55698131,5,-1.44301869
Meghan   Huertas,CTW,2016,0.08316933,1,-0.91683067
Meghan Duggan,BOS,2016,5.138952264,8,-2.861047736
Micaela Long,CTW,2016,2.669167338,3,-0.330832662
Michelle Picard,MET,2016,2.197960487,2,0.197960487
Milica McMillen,MET,2016,1.21211234,3,-1.78788766
Miye D'Oench,MET,2016,5.519479596,4,1.519479596
Molly Engstrom,CTW,2016,0.682865455,1,-0.317134545
Morgan Fritz-Ward,MET,2016,1.374354964,0,1.374354964
Nicole Connery,CTW,2016,3.263643497,4,-0.736356503
Nicole Kosta,CTW,2016,4.023472006,6,-1.976527994
Paige Harrington,BUF,2016,0.249044861,0,0.249044861
Rachel Llanes,BOS,2016,3.21523257,3,0.21523257
Rebecca Morse,MET,2016,0.345633596,0,0.345633596
Rebecca Russo,MET,2016,3.618598899,3,0.618598899
Sam Faber,CTW,2016,1.81281272,3,-1.18718728
Sarah Casorso,BUF,2016,1.24082365,0,1.24082365
Shannon Doyle,CTW,2016,0.982135963,0,0.982135963
Shiann Darkangelo,BUF,2016,7.125025534,3,4.125025534
Tatiana Rafter,MET,2016,3.675908592,6,-2.324091408
Taylor Holze,MET,2016,0.531996512,0,0.531996512
Zoe Hickel,BOS,2016,2.137382603,1,1.137382603
Zoe Hickel,CTW,2016,1.044297546,3,-1.955702454